,satu,dua,tiga,empat,lima,enam,tujuh,delapan,sembilan,sepuluh,sebelas,duabelas,tigabelas,empatbelas,limabelas,enambelas,tujuhbelas,delapanbelas,sembilanbelas,duapuluh
kd1,hello,let me introduce myself,my name is Budi,I live in Pati,I go to SMKN 2 Pati,I major in electrical engineering,my name is Wati,I like playing football,I like reading,may I know your name?,nice to know you,how are you?,how do you do?,good morning,good afternoon,good evening,good night,good bye,glad to know you,fancy meeting you
kd2,I heard you just won a competition,congratulations on your success!,congratulations!,I am glad for your success,you are really great!,you are really terrific!,well done!,good job!,you are the best!,you are the man!,I would like to congratulate you !,I would like to congratulate you for your success!,that's great!,you deserve it!,I am really glad for your success!,I heard that you have been promoted,I heard that you received a scholarship,you are great!,you are the one!,congrats!
